i18n_key,command_id,icon,icon_after,th_now,th_new,en_now,en_new,note
ui.ai.assistantTitle,,magic,,✨ AI ผู้ช่วยเขียน,AI ผู้ช่วยเขียน,✨ AI writing assistant,AI writing assistant,
ui.ai.consistTitle,,mask,,🎭 ตรวจสอบความสม่ำเสมอ — ,ตรวจสอบความสม่ำเสมอ —,🎭 Consistency check — ,Consistency check —,
ui.ai.consistWorking,,mask,,🎭 กำลังตรวจสอบความสม่ำเสมอ…,กำลังตรวจสอบความสม่ำเสมอ…,🎭 Checking consistency…,Checking consistency…,
ui.ai.dialogueTitle,,chat,,💬 สร้างบทสนทนา,สร้างบทสนทนา,💬 Generate dialogue,Generate dialogue,
ui.ai.errorMark,,x,,❌ เกิดข้อผิดพลาด,เกิดข้อผิดพลาด,❌ Something went wrong,Something went wrong,
ui.ai.hasRoundCallAI,,error,,⚠ มี {0} รอบที่เรียก AI ไม่สำเร็จ,มี {0} รอบที่เรียก AI ไม่สำเร็จ,⚠ มี {0} รอบที่เรียก AI ไม่สำเร็จ,มี {0} รอบที่เรียก AI ไม่สำเร็จ,
ui.ai.insert,,import,,📥 แทรก,แทรก,📥 แทรก,แทรก,
ui.ai.insertScene,,import,,📥 แทรกลงฉาก,แทรกลงฉาก,📥 แทรกลงฉาก,แทรกลงฉาก,
ui.ai.needBothChars,,x,,❌ กรุณาใส่ชื่อตัวละครทั้งสอง,กรุณาใส่ชื่อตัวละครทั้งสอง,❌ Enter both character names,Enter both character names,
ui.ai.new,,play,,▶ สร้าง,สร้าง,▶ สร้าง,สร้าง,
ui.ai.noInconsist,,check-circle,,✅ ไม่พบความไม่สม่ำเสมอ,ไม่พบความไม่สม่ำเสมอ,✅ No inconsistencies found,No inconsistencies found,
ui.ai.noPlotHoles,,check-circle,,✅ ไม่พบจุดบกพร่องของพล็อต,ไม่พบจุดบกพร่องของพล็อต,✅ No plot holes found,No plot holes found,
ui.ai.plotTitle,,search,,🔍 ตรวจสอบ Plot Hole,ตรวจสอบ Plot Hole,🔍 Plot hole check,Plot hole check,
ui.ai.plotWorking,,search,,🔍 กำลังตรวจสอบ Plot Holes…,กำลังตรวจสอบ Plot Holes…,🔍 Checking for plot holes…,Checking for plot holes…,
ui.ai.readFail,,x,,❌ อ่านไฟล์ไม่สำเร็จ: ,อ่านไฟล์ไม่สำเร็จ:,❌ Could not read file: ,Could not read file:,
ui.ai.result,,play,,▶ ประมวลผล,ประมวลผล,▶ ประมวลผล,ประมวลผล,
ui.ai.saveWiki,,import,,📥 บันทึกลง Wiki,บันทึกลง Wiki,📥 บันทึกลง Wiki,บันทึกลง Wiki,
ui.ai.sources,,paperclip,,📎 อ้างอิง: ,อ้างอิง:,📎 Sources: ,Sources:,
ui.ai.worldTitle,,globe,,🌍 สร้างโลก,สร้างโลก,🌍 World builder,World builder,
ui.aiChatPanel.actCmdOk,,zap,,⚡ ลงมือทำ {0} คำสั่ง — สำเร็จ {1}/{2},ลงมือทำ {0} คำสั่ง — สำเร็จ {1}/{2},⚡ ลงมือทำ {0} คำสั่ง — สำเร็จ {1}/{2},ลงมือทำ {0} คำสั่ง — สำเร็จ {1}/{2},
ui.aiChatPanel.aIDelProject,,error,,"⚠ AI ขอลบของในโปรเจกต์:

",AI ขอลบของในโปรเจกต์:,"⚠ AI ขอลบของในโปรเจกต์:

",AI ขอลบของในโปรเจกต์:,
ui.aiChatPanel.arrangeKeep,,import,,📥 จัดเก็บ,จัดเก็บ,📥 จัดเก็บ,จัดเก็บ,
ui.aiChatPanel.assistant,,bot,,🤖 ผู้ช่วย,ผู้ช่วย,🤖 ผู้ช่วย,ผู้ช่วย,
ui.aiChatPanel.busyAct,,zap,,⚡ กำลังลงมือทำ ,กำลังลงมือทำ,⚡ กำลังลงมือทำ ,กำลังลงมือทำ,
ui.aiChatPanel.busyThink,,bot,,🤖 กำลังคิด…,กำลังคิด…,🤖 กำลังคิด…,กำลังคิด…,
ui.aiChatPanel.busyThinkNext,,bot,,🤖 กำลังคิดต่อ…,กำลังคิดต่อ…,🤖 กำลังคิดต่อ…,กำลังคิดต่อ…,
ui.aiChatPanel.cantSettingsProviderAI,,x,,❌ ยังไม่ได้ตั้งค่าผู้ให้บริการ AI — ไฟล์ → ตั้งค่า AI,ยังไม่ได้ตั้งค่าผู้ให้บริการ AI — ไฟล์ → ตั้งค่า AI,❌ ยังไม่ได้ตั้งค่าผู้ให้บริการ AI — ไฟล์ → ตั้งค่า AI,ยังไม่ได้ตั้งค่าผู้ให้บริการ AI — ไฟล์ → ตั้งค่า AI,
ui.aiChatPanel.changeName,,edit,,✎ เปลี่ยนชื่อ,เปลี่ยนชื่อ,✎ เปลี่ยนชื่อ,เปลี่ยนชื่อ,
ui.aiChatPanel.cmdAct,,zap,,⚡ คำสั่งที่ลงมือทำ (,คำสั่งที่ลงมือทำ (,⚡ คำสั่งที่ลงมือทำ (,คำสั่งที่ลงมือทำ (,
ui.aiChatPanel.copyMarkdown,,link-external,,↗ แชร์ (คัดลอกเป็น Markdown),แชร์ (คัดลอกเป็น Markdown),↗ แชร์ (คัดลอกเป็น Markdown),แชร์ (คัดลอกเป็น Markdown),
ui.aiChatPanel.delSession2,,trash,,🗑 ลบเซสชันนี้,ลบเซสชันนี้,🗑 ลบเซสชันนี้,ลบเซสชันนี้,
ui.aiChatPanel.exitArrangeKeep,,export,,📤 เอาออกจากที่จัดเก็บ,เอาออกจากที่จัดเก็บ,📤 เอาออกจากที่จัดเก็บ,เอาออกจากที่จัดเก็บ,
ui.aiChatPanel.helpWriteNewEdit,,pen,,"✍️ ช่วยเขียน — สร้าง/แก้ เล่ม บท ฉาก เอนทิตี้ ได้จริง (ลบไม่ได้)
",ช่วยเขียน — สร้าง/แก้ เล่ม บท ฉาก เอนทิตี้ ได้จริง (ลบไม่ได้),"✍️ ช่วยเขียน — สร้าง/แก้ เล่ม บท ฉาก เอนทิตี้ ได้จริง (ลบไม่ได้)
",ช่วยเขียน — สร้าง/แก้ เล่ม บท ฉาก เอนทิตี้ ได้จริง (ลบไม่ได้),
ui.aiChatPanel.ideaModel,,brain,,🧠 ความคิดของโมเดล,ความคิดของโมเดล,🧠 ความคิดของโมเดล,ความคิดของโมเดล,
ui.aiChatPanel.notHasSessionPress,,,,"ยังไม่มีเซสชัน — กด ""➕ เซสชันใหม่"" เพื่อเริ่มคุย","ยังไม่มีเซสชัน — กด ""➕ เซสชันใหม่"" เพื่อเริ่มคุย","ยังไม่มีเซสชัน — กด ""➕ เซสชันใหม่"" เพื่อเริ่มคุย","ยังไม่มีเซสชัน — กด ""➕ เซสชันใหม่"" เพื่อเริ่มคุย",ไอคอน ➕ อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.aiChatPanel.plannerReadProjectNot,,book-open,,"📖 วางแผน — อ่านโปรเจกต์ได้ แต่ไม่แตะไฟล์
",วางแผน — อ่านโปรเจกต์ได้ แต่ไม่แตะไฟล์,"📖 วางแผน — อ่านโปรเจกต์ได้ แต่ไม่แตะไฟล์
",วางแผน — อ่านโปรเจกต์ได้ แต่ไม่แตะไฟล์,
ui.aiChatPanel.printTextEnterSend,,,,พิมพ์ข้อความ… (Enter = ส่ง · Shift+Enter = ขึ้นบรรทัด),พิมพ์ข้อความ…,พิมพ์ข้อความ… (Enter = ส่ง · Shift+Enter = ขึ้นบรรทัด),พิมพ์ข้อความ…,ตัดคีย์ลัดท้าย (Enter = ส่ง · Shift+Enter = ขึ้นบรรทัด) — ให้ UI เติมจาก commands.csv
ui.aiChatPanel.printTextShiftEnter,,,,พิมพ์ข้อความ… (Shift+Enter = ส่ง · Enter = ขึ้นบรรทัด),พิมพ์ข้อความ…,พิมพ์ข้อความ… (Shift+Enter = ส่ง · Enter = ขึ้นบรรทัด),พิมพ์ข้อความ…,ตัดคีย์ลัดท้าย (Shift+Enter = ส่ง · Enter = ขึ้นบรรทัด) — ให้ UI เติมจาก commands.csv
